,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2
0,1.0,10151,1131,10151,0.6,0.608695652
1,1.0,5820,8606,8606,0.44,0.666666667
2,1.0,1172,10151,10151,0.0,0.6
3,1.0,11810,10151,10151,0.0,0.571428571
4,1.0,10151,8606,8606,0.6,0.28571428600000004
5,1.0,15558,11810,11810,0.0,0.5
6,1.0,1172,10151,10151,0.0,0.41176470600000004
7,1.0,10151,1172,10151,0.586956522,0.0
8,1.0,15558,10151,10151,0.0,0.586956522
9,1.0,1172,8606,8606,0.0,0.608695652
10,1.0,1172,10151,1172,1.0,0.666666667
11,1.0,15558,5820,5820,0.0,0.363636364
12,1.0,11810,5820,5820,0.5,0.44
13,1.0,1131,8606,8606,0.608695652,0.46153846200000004
14,1.0,1172,5820,5820,0.0,0.52173913
15,1.0,11810,10151,11810,0.75,0.571428571
16,1.0,11810,8606,8606,0.0,0.625
17,1.0,1131,11810,1131,0.608695652,0.0
18,1.0,11810,450,11810,1.0,0.0
19,1.0,450,735,450,0.5,0.0
20,1.0,735,937,735,0.7777777779999999,0.0
21,1.0,735,450,735,0.7777777779999999,0.0
22,1.0,3403,450,3403,0.666666667,0.5
23,1.0,5820,3403,3403,0.0,0.5
24,1.0,3403,5820,5820,0.6,0.52173913
25,1.0,10151,8606,10151,0.7777777779999999,0.571428571
26,1.0,5885,2625,2625,0.62962963,1.0
27,1.0,1131,450,1131,1.0,0.5
28,1.0,450,10151,10151,0.5,0.571428571
29,1.0,450,1131,450,1.0,0.0
30,1.0,735,1131,1131,0.5,1.0
31,1.0,1092,1014,1092,0.857142857,0.0
32,1.0,8606,735,735,0.352941176,0.7777777779999999
33,1.0,735,1014,735,0.7777777779999999,0.833333333
34,1.0,1092,1014,1092,1.0,0.0
35,1.0,1092,8606,8606,0.0,0.36842105299999994
36,1.0,5820,1014,1014,0.5,0.333333333
37,1.0,5820,1092,1092,0.44,1.0
38,1.0,472,5820,472,0.7142857140000001,0.0
39,1.0,1092,1131,1092,1.0,0.615384615
40,1.0,450,1131,1131,0.2,0.608695652
41,1.0,450,5820,450,0.5,0.272727273
42,1.0,10151,1014,1014,0.625,0.833333333
43,1.0,5885,5820,5885,0.62962963,0.0
44,1.0,5885,1172,5885,0.62962963,0.0
45,1.0,1092,1131,1131,0.5,1.0
46,1.0,1131,103,1131,1.0,0.0
47,1.0,1131,8606,1131,1.0,0.352941176
48,1.0,10151,103,10151,0.434782609,0.4
49,1.0,8606,103,8606,0.5,0.4
50,1.0,11810,54,11810,1.0,0.0
51,1.0,10151,1131,1131,0.323529412,0.608695652
52,1.0,1131,10151,1131,1.0,0.625
53,1.0,1092,1131,1131,0.0,1.0
54,1.0,8606,1131,8606,0.409090909,0.0
55,1.0,450,103,450,0.5,0.4
56,1.0,11810,1092,1092,0.5,0.5
57,1.0,2345,10151,2345,0.7142857140000001,0.625
58,1.0,5885,2625,2625,0.62962963,1.0
59,1.0,3927,1131,1131,0.3,0.608695652
60,1.0,2345,1014,1014,0.7142857140000001,0.833333333
61,1.0,450,2345,2345,0.2,0.7142857140000001
62,1.0,280,1014,280,0.666666667,0.333333333
63,1.0,2345,450,2345,0.7142857140000001,0.5
64,1.0,450,1014,450,0.75,0.0
65,1.0,54,1131,1131,0.0,0.608695652
66,1.0,2345,10151,10151,0.7142857140000001,0.5
67,1.0,10151,8606,8606,0.46153846200000004,0.333333333
68,1.0,1131,11810,1131,1.0,0.5
69,1.0,5885,2625,5885,0.62962963,0.0
70,1.0,10151,3927,10151,1.0,0.3
71,1.0,8606,3927,8606,0.625,0.0
72,1.0,1131,5820,5820,0.608695652,1.0
73,1.0,1131,11810,1131,0.608695652,0.5
74,1.0,5885,2625,5885,0.62962963,0.75
75,1.0,2345,450,2345,1.0,0.0
76,1.0,450,11810,11810,0.384615385,0.5
77,1.0,1131,450,450,0.608695652,0.5
78,1.0,1131,450,1131,0.608695652,0.384615385
79,1.0,1131,8606,8606,0.608695652,0.352941176
80,1.0,450,1131,1131,0.0,0.608695652
81,1.0,1131,450,1131,0.608695652,0.2
82,1.0,10151,1092,1092,0.323529412,1.0
83,1.0,450,1131,1131,0.2,0.608695652
84,1.0,1131,3927,1131,0.608695652,0.0
85,1.0,5885,2625,5885,0.62962963,0.333333333
86,1.0,533,1092,1092,0.6,1.0
87,1.0,2345,8606,8606,0.4375,0.666666667
88,1.0,10151,8606,8606,0.5,0.571428571
89,1.0,1131,8606,1131,0.608695652,0.36842105299999994
90,1.0,10151,735,735,0.46153846200000004,1.0
91,1.0,450,3927,3927,0.0,0.588235294
92,1.0,5885,2625,5885,0.62962963,0.375
93,1.0,5885,2625,2625,0.62962963,0.14285714300000002
94,1.0,5885,2625,5885,0.5,0.14285714300000002
95,1.0,5885,2625,5885,0.75,0.14285714300000002
96,1.0,5885,2625,2625,0.28571428600000004,0.75
97,1.0,5885,1092,1092,0.5,0.333333333
98,1.0,1172,10151,10151,0.0,0.625
99,1.0,8606,450,450,0.666666667,0.384615385
100,1.0,5885,2625,2625,0.0,0.5
101,1.0,937,533,937,0.75,0.5
102,1.0,3927,533,3927,0.588235294,0.5
103,1.0,937,533,533,0.666666667,0.6
104,1.0,5885,2625,2625,0.41176470600000004,0.666666667
105,1.0,937,533,533,0.75,0.5
106,1.0,937,5820,937,0.75,0.44
107,1.0,5885,2625,2625,0.41176470600000004,0.5
108,1.0,1131,5820,1131,0.608695652,0.52173913
109,1.0,937,280,937,1.0,0.666666667
110,1.0,280,10151,280,1.0,0.323529412
111,1.0,280,3927,280,1.0,0.3
112,1.0,280,3927,3927,0.0,1.0
113,1.0,1131,10151,10151,0.608695652,0.46153846200000004
114,1.0,1131,10151,10151,0.608695652,0.5
115,1.0,1131,8606,8606,0.608695652,0.625
116,1.0,1131,10151,1131,0.615384615,0.5
117,1.0,3927,103,103,0.0,0.4
118,1.0,1131,10151,10151,0.615384615,0.586956522
119,1.0,10151,937,937,0.586956522,0.529411765
120,1.0,5885,2625,5885,0.28571428600000004,0.5
121,1.0,5885,2345,2345,0.62962963,0.4375
122,1.0,5885,2625,2625,0.7,0.5
123,1.0,5885,2625,2625,0.7,0.6
124,1.0,5885,2625,5885,0.7,0.14285714300000002
125,1.0,5885,2625,2625,0.41176470600000004,1.0
126,1.0,8606,1131,8606,0.363636364,0.615384615
127,1.0,5885,2345,5885,0.28571428600000004,0.4375
128,1.0,5885,2625,2625,0.41176470600000004,0.59375
129,1.0,2345,450,450,0.4375,0.384615385
130,1.0,5885,2625,2625,0.28571428600000004,1.0
131,1.0,5885,2625,5885,0.41176470600000004,0.0
132,1.0,1131,2345,2345,0.608695652,0.4375
133,1.0,3927,10151,10151,0.3,0.586956522
134,1.0,10151,2345,10151,0.46153846200000004,0.4375
135,1.0,1131,1092,1131,0.608695652,0.666666667
136,1.0,2345,1131,2345,0.4375,0.615384615
137,1.0,1131,2345,1131,0.615384615,0.0
138,1.0,10151,2625,2625,0.5,0.59375
139,1.0,5885,2625,2625,0.5,0.333333333
140,1.0,10151,8606,10151,0.444444444,0.681818182
141,1.0,2345,1131,1131,0.0,1.0
142,1.0,280,1131,1131,0.0,0.615384615
143,1.0,1014,2345,2345,0.0,0.7142857140000001
144,1.0,5820,1014,5820,0.6,0.0
145,1.0,10151,2345,10151,0.46153846200000004,0.764705882
146,1.0,5885,2625,2625,0.41176470600000004,0.6
147,1.0,5885,2625,2625,0.0,1.0
148,1.0,10151,5885,5885,0.46153846200000004,0.41176470600000004
149,1.0,2625,10151,10151,0.46666666700000003,0.444444444
150,1.0,5885,10151,10151,0.28571428600000004,0.46153846200000004
151,1.0,5885,2625,5885,0.41176470600000004,0.333333333
152,1.0,1092,2047,2047,0.0,0.5
153,1.0,5885,2625,5885,0.62962963,0.59375
154,1.0,2047,937,937,0.5,0.666666667
155,1.0,5885,2625,5885,0.7,0.5
156,1.0,450,1131,1131,0.75,0.615384615
157,1.0,5885,2625,2625,0.28571428600000004,0.59375
158,1.0,2047,280,280,0.5,0.666666667
159,1.0,3927,1014,3927,1.0,0.0
160,1.0,5885,10151,5885,0.7,0.5
161,1.0,1131,8606,1131,0.615384615,0.28571428600000004
162,1.0,10151,2345,10151,0.7777777779999999,0.0
163,1.0,2345,450,450,0.4375,0.384615385
164,1.0,2345,450,450,0.4375,0.75
165,1.0,450,10151,10151,0.384615385,0.444444444
166,1.0,2345,450,2345,0.4375,0.384615385
167,1.0,1131,10151,10151,0.615384615,0.7777777779999999
168,1.0,1131,8606,1131,0.615384615,0.222222222
169,1.0,8606,1131,1131,0.222222222,1.0
170,1.0,2345,3216,2345,0.4375,0.2
171,1.0,280,1014,1014,0.0,0.666666667
172,1.0,280,1014,280,1.0,0.0
173,1.0,280,3927,280,1.0,0.3
174,1.0,1131,2047,1131,0.615384615,0.5
175,1.0,10151,1092,1092,0.46153846200000004,0.666666667
176,1.0,10151,3216,10151,0.586956522,0.4
177,1.0,937,8606,937,0.75,0.363636364
178,1.0,5885,2625,2625,0.28571428600000004,0.5
179,1.0,5885,1131,1131,0.62962963,0.615384615
180,1.0,280,2047,2047,0.0,1.0
181,1.0,937,8606,8606,0.529411765,0.352941176
182,1.0,5885,1014,5885,0.62962963,0.0
183,1.0,533,937,533,0.6,0.0
184,1.0,11810,2047,2047,0.5,0.5
185,1.0,705,2345,2345,0.0,0.4375
186,1.0,2345,705,2345,0.4375,0.0
187,1.0,11810,10151,11810,0.5,0.46153846200000004
188,1.0,10151,8606,8606,0.5,0.571428571
189,1.0,15,2345,2345,0.0,0.7142857140000001
190,1.0,8606,2047,2047,0.444444444,0.48387096799999996
191,1.0,2047,450,2047,0.5,0.384615385
192,1.0,280,1092,280,1.0,0.333333333
193,1.0,450,8606,450,0.384615385,0.6
194,1.0,450,8606,450,0.2,0.363636364
195,1.0,5885,2625,5885,0.62962963,0.5
196,1.0,2345,735,2345,0.764705882,0.222222222
197,1.0,10151,8606,8606,0.46153846200000004,0.409090909
198,1.0,8606,450,450,0.666666667,0.384615385
199,1.0,5885,2625,5885,0.62962963,0.59375
200,1.0,5885,2625,5885,0.7,0.6
201,1.0,2345,705,705,0.4375,0.625
202,1.0,5885,2625,2625,0.517857143,0.59375
203,1.0,5885,2625,2625,0.517857143,0.59375
204,1.0,5885,10151,10151,0.517857143,0.46153846200000004
205,1.0,11810,2345,11810,0.637096774,0.4375
206,1.0,8606,450,450,0.681818182,0.75
207,1.0,5820,1092,5820,0.526315789,0.0
208,1.0,937,3927,3927,0.0,0.3
209,1.0,1867,450,1867,0.666666667,0.384615385
210,1.0,83,5820,83,1.0,0.529411765
211,1.0,5820,1867,5820,0.529411765,0.666666667
212,1.0,5885,2625,2625,0.517857143,0.5
213,1.0,5885,5820,5820,0.517857143,0.571428571
214,1.0,2345,450,2345,0.764705882,0.384615385
215,1.0,1546,0,1546,0.333333333,0.0
216,1.0,16524,2345,2345,0.0,0.764705882
217,1.0,8606,16524,16524,0.46153846200000004,0.590909091
218,1.0,2047,705,705,0.48387096799999996,1.0
219,1.0,5820,3403,3403,0.333333333,0.28571428600000004
220,1.0,1092,705,705,0.0,0.625
221,1.0,5885,10151,5885,0.41176470600000004,0.49479166700000005
222,1.0,705,1092,705,0.625,0.5
223,1.0,16524,2345,2345,0.6,0.764705882
224,1.0,2345,937,937,0.4375,0.529411765
225,1.0,16524,2345,2345,0.28571428600000004,0.764705882
226,1.0,2345,937,2345,0.764705882,0.529411765
227,1.0,2345,16524,16524,0.764705882,0.5555555560000001
228,1.0,450,16524,16524,0.384615385,0.46153846200000004
229,1.0,16524,8606,16524,0.484848485,0.363636364
230,1.0,1867,16524,1867,0.666666667,0.0
231,1.0,937,533,533,0.0,0.5
232,1.0,10151,16524,10151,0.586956522,0.544117647
233,1.0,2345,16524,2345,0.764705882,0.5555555560000001
234,1.0,1172,8606,8606,0.0,0.571428571
235,1.0,10151,937,937,0.46153846200000004,0.529411765
236,1.0,5885,2625,2625,0.41176470600000004,0.59375
237,1.0,1172,2047,2047,0.0,1.0
238,1.0,735,103,103,0.222222222,0.4
239,1.0,3927,937,937,0.3,1.0
240,1.0,5885,5820,5820,0.41176470600000004,0.6
241,1.0,5885,8606,5885,0.41176470600000004,0.409090909
242,1.0,1092,533,533,0.333333333,1.0
243,1.0,10151,8606,10151,0.586956522,0.409090909
244,1.0,5885,2625,2625,0.41176470600000004,0.59375
245,1.0,5885,2625,5885,0.517857143,0.6
246,1.0,5885,2625,2625,0.62962963,0.59375
247,1.0,5885,937,937,0.41176470600000004,0.666666667
248,1.0,5885,937,5885,0.5277777779999999,0.529411765
249,1.0,1092,3927,3927,0.0,0.588235294
250,1.0,5885,1092,5885,0.5277777779999999,0.0
251,1.0,5885,5820,5885,0.5277777779999999,0.571428571
252,1.0,1092,8606,8606,0.0,0.409090909
253,1.0,5885,2625,2625,0.5277777779999999,0.75
254,1.0,5885,2625,2625,0.5277777779999999,0.75
255,1.0,5885,2625,2625,0.25,0.5
256,1.0,5885,2625,2625,0.517857143,0.375
257,1.0,5885,2625,2625,0.62962963,0.59375
258,1.0,5885,2625,5885,0.25,0.0
259,1.0,5885,2625,5885,0.75,0.0
260,1.0,5885,2625,2625,0.5,0.59375
261,1.0,5885,2625,2625,0.0,0.46666666700000003
262,1.0,5885,2625,5885,1.0,0.375
263,1.0,5885,2625,2625,0.75,0.59375
264,1.0,705,400,705,0.625,0.0
265,1.0,1092,2345,2345,0.0,0.764705882
266,1.0,705,5820,5820,0.625,0.52173913
267,1.0,5820,1867,5820,1.0,0.666666667
268,1.0,705,2345,2345,0.625,0.764705882
269,1.0,705,5820,705,1.0,0.529411765
270,1.0,8606,2345,8606,0.352941176,0.764705882
271,1.0,400,8606,8606,0.0,0.333333333
272,1.0,705,10151,705,0.625,0.586956522
273,1.0,735,10151,10151,0.0,0.434782609
274,1.0,2345,937,937,0.764705882,0.529411765
275,1.0,10151,2345,10151,0.46153846200000004,0.0
276,1.0,5885,937,937,0.0,1.0
277,1.0,5885,2625,2625,0.5277777779999999,0.375
278,1.0,5885,2625,2625,0.5,0.59375
279,1.0,2625,937,937,0.5,0.529411765
280,1.0,5885,937,5885,0.5277777779999999,0.0
281,1.0,3403,5820,3403,0.75,0.529411765
282,1.0,937,10151,937,1.0,0.586956522
283,1.0,705,2047,2047,0.625,0.5
284,1.0,705,5820,5820,0.0,0.529411765
285,1.0,8606,705,705,0.409090909,1.0
286,1.0,735,10151,10151,0.222222222,0.434782609
287,1.0,533,2047,533,0.6,0.48387096799999996
288,1.0,5885,5820,5885,0.5277777779999999,0.526315789
289,1.0,5820,16524,5820,0.7142857140000001,0.46153846200000004
290,1.0,5885,8606,5885,1.0,0.666666667
291,1.0,937,5820,5820,0.0,0.526315789
292,1.0,5885,5820,5820,0.41176470600000004,0.52173913
293,1.0,5885,2625,5885,0.5277777779999999,0.59375
294,1.0,5820,1092,1092,0.333333333,0.5
295,1.0,456,735,735,0.0,0.5
296,1.0,16524,3927,3927,0.569014085,0.588235294
297,1.0,10151,456,10151,0.586956522,0.48
298,1.0,1092,10151,1092,0.5,0.586956522
299,1.0,456,8606,456,0.48,0.608695652
300,1.0,16524,8606,8606,0.5555555560000001,0.6
301,1.0,440,2345,2345,0.0,0.529411765
302,1.0,440,3216,440,0.333333333,0.2
303,1.0,456,1092,1092,0.48,1.0
304,1.0,2345,440,2345,0.529411765,0.0
305,1.0,440,456,456,0.333333333,0.48
306,1.0,2345,1014,2345,1.0,0.0
307,1.0,1014,456,1014,0.833333333,0.0
308,1.0,456,440,456,0.48,0.0
309,1.0,440,2345,2345,0.0,0.529411765
310,1.0,440,456,440,1.0,0.0
311,1.0,440,456,440,0.666666667,0.48
312,1.0,456,440,440,0.48,1.0
313,1.0,2345,456,2345,0.529411765,0.48
314,1.0,16524,400,16524,0.647058824,0.0
315,1.0,705,2345,2345,0.0,0.764705882
316,1.0,2345,705,705,0.529411765,1.0
317,1.0,2345,5820,2345,0.764705882,0.45
318,1.0,735,3927,3927,0.222222222,0.588235294
319,1.0,10151,3216,3216,0.46153846200000004,0.4
320,1.0,400,3216,400,0.6,0.25
321,1.0,3216,8524,8524,0.2,1.0
322,1.0,3216,10151,3216,0.4,0.46153846200000004
323,1.0,457,10151,457,0.333333333,0.434782609
324,1.0,457,8524,8524,0.333333333,0.5
325,1.0,457,400,400,0.333333333,1.0
326,1.0,8524,10151,10151,0.5,0.434782609
327,1.0,3216,8524,3216,0.25,0.5
328,1.0,8524,666,8524,0.5,0.7777777779999999
329,1.0,3216,8524,8524,0.4,0.5
330,1.0,5820,3216,5820,0.272727273,0.25
331,1.0,10151,666,666,0.333333333,0.7777777779999999
332,1.0,666,457,666,0.7777777779999999,0.0
333,1.0,457,666,457,1.0,0.7777777779999999
334,1.0,666,3216,666,0.666666667,0.25
335,1.0,666,3216,666,0.7777777779999999,0.2
336,1.0,400,2345,2345,0.0,0.529411765
337,1.0,457,2345,2345,0.333333333,0.529411765
338,1.0,5885,8606,5885,0.5277777779999999,0.409090909
339,1.0,457,666,666,0.0,0.7777777779999999
340,1.0,2345,457,457,0.529411765,0.7777777779999999
341,1.0,457,47,47,0.333333333,1.0
342,1.0,2345,457,2345,0.529411765,0.0
343,1.0,457,2345,457,0.7777777779999999,0.529411765
344,1.0,457,2345,2345,0.7777777779999999,0.5
345,1.0,2345,457,457,0.529411765,0.7777777779999999
346,1.0,457,305,457,0.7777777779999999,0.0
347,1.0,2047,10151,10151,0.5,0.46153846200000004
348,1.0,2047,456,456,0.5,0.48
349,1.0,457,2047,457,0.7777777779999999,0.4
350,1.0,457,400,457,0.333333333,0.0
351,1.0,457,2047,457,0.7777777779999999,0.5
352,1.0,10151,8524,10151,0.586956522,0.5
353,1.0,1172,2345,2345,0.5,0.764705882
354,1.0,705,2047,2047,0.0,0.4
355,1.0,8524,10151,8524,0.25,0.434782609
356,1.0,456,3216,456,0.48,0.4
357,1.0,3216,8524,3216,0.2,0.0
358,1.0,5885,10151,10151,0.5277777779999999,0.586956522
359,1.0,666,457,666,0.666666667,0.7777777779999999
360,1.0,400,8524,8524,0.0,0.5
361,1.0,8524,3216,8524,0.666666667,0.333333333
362,1.0,16524,15558,15558,0.484848485,0.571428571
363,1.0,16524,15558,16524,0.569014085,0.41176470600000004
364,1.0,440,96,96,0.333333333,0.333333333
365,1.0,16524,440,440,0.28571428600000004,0.666666667
366,1.0,666,35,666,0.7777777779999999,0.0
367,1.0,16524,440,16524,0.484848485,0.666666667
368,1.0,440,16524,440,1.0,0.5555555560000001
369,1.0,8524,440,440,0.0,0.666666667
370,1.0,440,16524,16524,0.666666667,0.484848485
371,1.0,16524,440,440,0.5555555560000001,0.666666667
372,1.0,666,3216,666,1.0,0.0
373,1.0,8524,35,35,0.666666667,1.0
374,1.0,666,35,666,0.5,0.0
375,1.0,16524,440,440,0.569014085,0.666666667
376,1.0,1172,10151,10151,0.5,0.46153846200000004
377,1.0,5820,1172,1172,0.333333333,0.5
378,1.0,3216,5820,5820,0.333333333,0.6
379,1.0,3216,8524,3216,0.534883721,0.538461538
380,1.0,3216,8524,8524,0.534883721,0.4
381,1.0,8606,16524,16524,0.681818182,0.5555555560000001
382,1.0,2047,400,2047,0.5,0.6
383,1.0,1092,1014,1092,0.666666667,0.545454545
384,1.0,3216,5820,5820,0.534883721,0.45
385,1.0,457,2345,457,0.7777777779999999,0.5
386,1.0,10151,1014,1014,0.434782609,0.545454545
387,1.0,1172,3216,1172,0.538461538,0.307692308
388,1.0,50,10151,50,1.0,0.571428571
389,1.0,3216,5820,5820,0.307692308,0.526315789
390,1.0,1014,400,400,0.666666667,0.5
391,1.0,705,3216,3216,0.0,0.307692308
392,1.0,705,3216,3216,0.5,0.333333333
393,1.0,8606,1014,8606,0.352941176,0.4
394,1.0,1014,705,705,0.545454545,0.5
395,1.0,1172,8524,1172,0.538461538,0.52
396,1.0,1014,472,1014,0.833333333,0.333333333
397,1.0,705,472,705,0.5,0.666666667
398,1.0,10151,8524,8524,0.444444444,0.52
399,1.0,8606,456,8606,0.5,0.0
400,1.0,8524,472,8524,0.666666667,0.333333333
401,1.0,10289,1014,1014,0.4,0.666666667
402,1.0,705,8606,705,0.5,0.5471698110000001
403,1.0,10151,472,472,0.434782609,0.7142857140000001
404,1.0,1172,10151,10151,0.538461538,0.586956522
405,1.0,400,1092,400,0.6,0.5
406,1.0,3216,8524,3216,0.653061224,0.4
407,1.0,8524,3216,8524,0.52,0.375
408,1.0,16524,8606,16524,0.5555555560000001,0.571428571
409,1.0,8524,9660,8524,0.538461538,0.489361702
410,1.0,3216,8524,3216,0.653061224,0.52
411,1.0,3216,4418,3216,0.653061224,0.0
412,1.0,4418,3216,3216,0.0,0.375
413,1.0,456,2345,2345,0.48,0.529411765
414,1.0,4418,3216,3216,0.0,0.333333333
415,1.0,4418,3216,4418,0.75,0.307692308
416,1.0,9660,4418,9660,0.489361702,0.75
417,1.0,9660,4418,9660,0.489361702,0.0
418,1.0,9660,4418,4418,0.0,0.42105263200000004
419,1.0,3216,4418,4418,0.534883721,1.0
420,1.0,9660,4418,4418,0.489361702,0.666666667
421,1.0,9660,4418,9660,1.0,0.6875
422,1.0,4418,3216,4418,0.428571429,0.333333333
423,1.0,4418,3216,3216,0.428571429,0.653061224
424,1.0,4418,3216,4418,0.428571429,0.653061224
425,1.0,4418,3216,4418,0.428571429,0.375
426,1.0,4418,9660,9660,0.428571429,1.0
427,1.0,4418,3216,4418,0.428571429,0.307692308
428,1.0,705,4418,705,0.5,0.428571429
429,1.0,4418,1172,1172,0.0,0.538461538
430,1.0,705,1172,1172,0.5,0.538461538
431,1.0,4418,3216,4418,0.6875,0.375
432,1.0,4418,4621,4418,0.556818182,0.363636364
433,1.0,4418,4621,4418,1.0,0.25
434,1.0,4621,4418,4418,0.5,0.75
435,1.0,4418,3216,4418,0.6875,0.307692308
436,1.0,4621,4418,4621,0.444444444,0.0
437,1.0,1172,937,1172,0.5,0.529411765
438,1.0,4621,4418,4418,0.444444444,0.5
439,1.0,4621,4418,4621,0.444444444,0.42105263200000004
440,1.0,4621,4418,4418,0.0,0.42105263200000004
441,1.0,4621,4418,4621,0.545454545,0.42105263200000004
442,1.0,4621,4418,4621,0.454545455,0.428571429
443,1.0,4621,4418,4418,0.428571429,0.6875
444,1.0,4418,3216,3216,0.428571429,0.653061224
445,1.0,4621,4418,4418,0.454545455,0.6875
446,1.0,4621,4418,4418,0.545454545,0.6875
447,1.0,4418,3216,3216,0.6875,0.653061224
448,1.0,4621,4418,4418,0.428571429,0.6875
449,1.0,4621,4418,4621,0.444444444,0.428571429
450,1.0,4418,3216,3216,0.428571429,0.653061224
451,1.0,533,937,533,1.0,0.0
452,1.0,4418,3216,4418,0.6875,0.653061224
453,1.0,4418,3216,4418,0.428571429,0.653061224
454,1.0,3216,4418,3216,0.307692308,0.6875
455,1.0,3216,4418,3216,0.534883721,0.428571429
456,1.0,3216,4418,4418,0.534883721,0.666666667
457,1.0,3216,4418,4418,0.375,0.428571429
458,1.0,10289,2345,2345,0.4,0.529411765
459,1.0,4418,3216,4418,0.666666667,0.5
460,1.0,3403,2345,2345,0.666666667,0.764705882
461,1.0,10289,3403,10289,0.5,0.0
462,1.0,130,10151,10151,0.333333333,0.586956522
463,1.0,472,8606,472,0.666666667,0.28571428600000004
464,1.0,305,47,305,1.0,0.0
465,1.0,400,472,472,0.5,0.7142857140000001
466,1.0,251,15234,251,0.5,0.0
467,1.0,15234,320,320,0.5,0.5
468,1.0,320,533,533,0.5,0.333333333
469,1.0,10151,320,320,0.571428571,0.5
470,1.0,533,15234,15234,0.333333333,0.75
471,1.0,10151,1172,10151,0.571428571,0.538461538
472,1.0,320,15234,15234,0.0,0.75
473,1.0,320,533,533,0.0,0.5
474,1.0,10289,472,472,0.4,0.333333333
475,1.0,251,10289,10289,0.5,0.4
476,1.0,15234,1172,15234,0.75,0.538461538
477,1.0,10289,10151,10151,0.4,0.586956522
478,1.0,10289,10151,10289,0.333333333,0.586956522
479,1.0,16524,440,16524,0.569014085,0.666666667
480,1.0,440,16524,440,0.666666667,0.5555555560000001
481,1.0,16524,10289,16524,0.569014085,0.333333333
482,1.0,10289,15234,15234,0.25,0.75
483,1.0,10289,15234,15234,0.4,0.75
484,1.0,10289,8606,10289,0.333333333,0.46153846200000004
485,1.0,440,3927,440,1.0,0.588235294
486,1.0,8606,3927,8606,0.666666667,0.588235294
487,1.0,15234,10289,15234,0.166666667,0.5
488,1.0,305,1172,1172,0.25,0.538461538
489,1.0,8524,10289,8524,0.4,0.428571429
490,1.0,305,456,305,0.25,0.0
491,1.0,472,8524,8524,0.7142857140000001,0.52
492,1.0,472,400,400,0.0,1.0
493,1.0,3927,1092,3927,0.588235294,0.5
494,1.0,472,456,456,0.0,0.48
495,1.0,8606,666,666,0.28571428600000004,0.7777777779999999
496,1.0,5820,3112,3112,0.52173913,1.0
497,1.0,5820,8524,5820,0.52173913,0.6122448979999999
498,1.0,472,8524,8524,0.0,0.333333333
499,1.0,8524,8606,8524,0.52,0.352941176
500,1.0,8524,73,8524,0.533333333,0.25
501,1.0,472,3216,472,0.7142857140000001,0.653061224
502,1.0,4418,3216,3216,0.6875,0.5
503,1.0,10289,456,456,0.36,0.48
504,1.0,4418,3216,3216,0.428571429,0.534883721
505,1.0,4418,3216,3216,0.666666667,0.534883721
506,1.0,3216,10151,3216,0.307692308,0.586956522
507,1.0,4418,3216,3216,0.428571429,0.534883721
508,1.0,4418,9660,9660,0.428571429,0.666666667
509,1.0,456,9660,9660,0.48,0.489361702
510,1.0,10151,9660,9660,0.586956522,0.666666667
511,1.0,9660,456,9660,0.333333333,0.48
512,1.0,4418,3216,4418,0.6,0.534883721
513,1.0,9660,8606,9660,1.0,0.571428571
514,1.0,9660,2345,9660,0.489361702,0.529411765
515,1.0,4418,4621,4418,0.6875,0.545454545
516,1.0,4621,4418,4621,0.454545455,0.6
517,1.0,4621,4418,4418,0.5,0.6875
518,1.0,4621,4418,4418,0.5,0.6875
519,1.0,9660,15234,15234,0.333333333,0.75
520,1.0,4621,4418,4621,0.454545455,0.36842105299999994
521,1.0,3403,1172,1172,0.75,0.538461538
522,1.0,96,8524,8524,0.333333333,0.666666667
523,1.0,472,8606,472,0.666666667,0.352941176
524,1.0,320,15234,15234,0.5,0.75
525,1.0,10151,8606,10151,0.586956522,0.571428571
526,1.0,1092,305,1092,0.857142857,0.25
527,1.0,3112,1001,1001,0.0,0.666666667
528,1.0,937,10151,937,0.529411765,0.444444444
529,1.0,400,8606,8606,0.0,0.470588235
530,1.0,9660,10151,10151,0.333333333,0.434782609
531,1.0,10151,937,937,0.434782609,0.529411765
532,1.0,96,1001,1001,0.333333333,0.666666667
533,1.0,10151,1001,1001,0.586956522,1.0
534,1.0,305,8524,305,0.75,0.52
535,1.0,10289,10151,10151,0.25,0.434782609
536,1.0,3216,3112,3112,0.534883721,1.0
537,1.0,1210,8524,8524,0.0,0.52
538,1.0,1001,10289,1001,1.0,0.428571429
539,1.0,10289,1001,10289,0.36,0.0
540,1.0,1210,10289,10289,0.333333333,0.36
541,1.0,1001,8606,8606,0.666666667,0.46153846200000004
542,1.0,4621,9660,9660,0.444444444,0.489361702
543,1.0,1210,579,579,0.0,1.0
544,1.0,400,8524,400,1.0,0.533333333
545,1.0,8524,10151,10151,0.52,0.586956522
546,1.0,9660,15234,15234,0.489361702,1.0
547,1.0,15234,10151,10151,0.75,0.586956522
548,1.0,1001,15234,15234,0.0,0.75
549,1.0,8524,10151,8524,0.533333333,0.586956522
550,1.0,579,1001,579,1.0,0.5
551,1.0,8606,3112,3112,0.36842105299999994,1.0
552,1.0,8524,130,8524,0.5,0.0
553,1.0,15234,1001,15234,1.0,0.0
554,1.0,579,10151,10151,0.14285714300000002,0.586956522
